Id,SalePrice
1461,114352.84367829235
1462,156729.6281496823
1463,189370.21377632357
1464,194161.76411769574
1465,186958.1487047098
1466,174972.46884036338
1467,170689.34597869113
1468,164558.36274515436
1469,183326.87158603276
1470,128403.28062882095
1471,194632.63920443857
1472,94578.4045655644
1473,92885.3619579223
1474,154943.54081341263
1475,124365.03340148847
1476,428266.7655473445
1477,279202.6076936876
1478,286483.7409007693
1479,228988.48253356427
1480,518832.6932803274
1481,347100.241319352
1482,211728.71700918695
1483,169244.58767394317
1484,164609.2769727071
1485,184225.7815001226
1486,196343.68504734075
1487,360765.9139211011
1488,236143.35838649326
1489,206914.84674929595
1490,219206.27196358723
1491,194906.64175900325
1492,88983.63604488128
1493,188480.04286993342
1494,309107.49695618765
1495,286256.1928845455
1496,227442.71072658675
1497,182240.70251962036
1498,166462.61677453903
1499,163935.31520824158
1500,157264.23541386655
1501,206540.92193297402
1502,156843.87442367498
1503,343947.00824694405
1504,237336.02645443616
1505,224347.35526027478
1506,189431.15956476695
1507,247600.99680953956
1508,191937.3500116818
1509,157251.62577221688
1510,146157.55996391055
1511,138491.8718087347
1512,166502.55100882374
1513,123743.24046332132
1514,172028.9817683549
1515,196877.61614633087
1516,145165.6154804606
1517,162166.89915191202
1518,133992.36054700633
1519,218553.15451065576
1520,131582.3623914878
1521,135373.18875453883
1522,166992.28156494675
1523,109155.76207758045
1524,120596.1528765147
1525,119973.15444305162
1526,115191.28639277516
1527,109778.73378574288
1528,140981.6603001984
1529,156330.53925205686
1530,170877.8168730695
1531,101081.2772224197
1532,98146.34868431956
1533,135500.7545504987
1534,122892.03102628812
1535,155915.94396369864
1536,108976.79098588384
1537,62524.49854816425
1538,172458.07600951928
1539,195184.51742652417
1540,99861.46735598044
1541,147694.76855954557
1542,136827.73418860065
1543,225864.17678875246
1544,76411.65812544391
1545,106000.43104056889
1546,130581.64819584023
1547,130739.46319865366
1548,140046.4962113337
1549,112855.90637553054
1550,137144.24430587905
1551,120561.96909668396
1552,152462.99110760263
1553,162795.49184172432
1554,107892.71492385914
1555,170136.5876563091
1556,80483.35966567087
1557,106674.45925662937
1558,93978.28327080201
1559,74560.67464253065
1560,121776.63664514429
1561,120188.69137178804
1562,129188.5634182807
1563,120975.61275092053
1564,162259.67490500852
1565,145997.01488519736
1566,224259.8965638787
1567,66244.71209149118
1568,221037.52917342764
1569,130101.3996560513
1570,133004.71344180405
1571,116128.85265603203
1572,153707.48772143899
1573,240117.2450727571
1574,119585.0800397149
1575,209977.0673389819
1576,219006.25127053083
1577,190403.89071404882
1578,140853.68874783197
1579,150193.6979537436
1580,193051.04015074155
1581,156841.64661391717
1582,129856.5802699056
1583,325133.31854836096
1584,226696.1119508017
1585,139413.09385407984
1586,72380.1091329971
1587,93969.73272391708
1588,160936.59075531055
1589,97255.98754994746
1590,126319.96536843473
1591,88642.06311397257
1592,119093.41733393315
1593,130493.13384837702
1594,191536.7717794185
1595,111801.85206739273
1596,254196.01314073263
1597,203883.10505234796
1598,214690.28808422587
1599,180384.38497791023
1600,173276.54211671828
1601,65356.52739641544
1602,109803.01839574547
1603,97309.9111329376
1604,273002.735442444
1605,232837.65371033424
1606,158984.76412919586
1607,201642.57176518644
1608,198416.0531367589
1609,188281.8498832422
1610,147132.9764557679
1611,130511.8721182156
1612,171713.42162390478
1613,158166.0352846942
1614,134059.77543274823
1615,95768.87436643911
1616,69005.53854651433
1617,93511.6233985769
1618,128429.64773568428
1619,131478.1197747152
1620,172026.90849636818
1621,139734.60221127726
1622,150931.39992164477
1623,256954.98138599904
1624,209114.49144291136
1625,125388.70539157954
1626,161839.57681107576
1627,188436.54828702685
1628,275729.46133457543
1629,181069.6799986108
1630,296371.0293527
1631,224954.76921256853
1632,247500.97075432
1633,172111.9843836226
1634,185021.96838977197
1635,173309.5140611313
1636,144779.4054570219
1637,194712.90359026208
1638,200280.67922254174
1639,175164.45890512722
1640,268693.2761718138
1641,172556.39863408366
1642,218646.71425613514
1643,217960.79500857092
1644,228944.01378863413
1645,199814.70590596128
1646,160735.5135567129
1647,156604.21877854076
1648,132158.52434432335
1649,136939.84250100044
1650,120623.10852663081
1651,130306.44110730069
1652,94830.78406906976
1653,98146.89024756574
1654,151934.0130939409
1655,152307.05924794546
1656,142205.03322285094
1657,146056.52383685228
1658,147804.38656728138
1659,134991.9550896554
1660,155800.37886733253
1661,460625.445263831
1662,452629.71795637714
1663,391562.89474037866
1664,380817.1568747054
1665,338331.0767231005
1666,323874.417913547
1667,344971.9845965532
1668,349816.26652679034
1669,288579.30512450536
1670,368134.94794379413
1671,254395.79174968097
1672,429295.77072062023
1673,294818.940378376
1674,242626.48321092493
1675,185995.1100190521
1676,185849.59213477263
1677,214615.30857598927
1678,405250.8581670871
1679,371569.33025428624
1680,352567.9741334504
1681,264893.7333507745
1682,308107.227828111
1683,168748.41764765276
1684,169544.62530890296
1685,173901.94254489726
1686,170802.1871021445
1687,172796.4024115741
1688,193088.52820879265
1689,196425.77914428577
1690,193991.32650061746
1691,185530.76566400065
1692,286843.91413805506
1693,166293.1279617796
1694,183968.47958924298
1695,166859.07100178723
1696,283594.1917831655
1697,172054.16115245255
1698,365824.35725803004
1699,316972.6251251021
1700,245394.30904291465
1701,266797.27626868244
1702,267429.66689537885
1703,272814.2607544838
1704,281551.78508562443
1705,232898.1033603051
1706,359330.2437075286
1707,212201.0724554423
1708,200360.31584962647
1709,283192.86437901855
1710,214689.175253587
1711,259319.07433645878
1712,292774.7027762183
1713,263623.899798901
1714,221904.5057027971
1715,212505.60679317228
1716,186450.97124508955
1717,175364.05250241442
1718,134411.36469141525
1719,202308.66017174246
1720,233215.8856107471
